Region,Site Name,EPA ID,City,State,Zip Code,County,Primary Latitude,Primary Longitude,FF,NAI,NPL Status,Site Category,Category Code,HRS Score,Listing (Finalized) Date,Proposed Date,Preferred Contaminant Name,CAS Number,Site ID
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,CHRYSENE,218-01-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,COBALT,7440-48-4,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,COPPER,7440-50-8,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,CYANIDE,57-12-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DI-N-OCTYL PHTHALATE,117-84-0,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"DIBENZO(A,H)ANTHRACENE",53-70-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DIBENZOFURAN,132-64-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DIBUTYL PHTHALATE,84-74-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DICHLOROMETHANE (METHYLENE CHLORIDE),75-09-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DIELDRIN,60-57-1,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DIETHYL PHTHALATE,84-66-2,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,DIMETHYL PHTHALATE,131-11-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,ETHYLBENZENE,100-41-4,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,GAMMA-HEXACHLOROCYCLOHEXANE (LINDANE),58-89-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"HEXACHLORO-1,3-BUTADIENE",87-68-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"INDENO(1,2,3-CD)PYRENE",193-39-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,LEAD,7439-92-1,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,MANGANESE,7439-96-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,MERCURY,7439-97-6,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,NAPHTHALENE,91-20-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,NICKEL,7440-02-0,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"P,P'-DDD",72-54-8,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"P,P'-DDE",72-55-9,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,"P,P'-DDT",50-29-3,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,PENTACHLOROPHENOL,87-86-5,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,PHENANTHRENE,85-01-8,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,PHENYLMETHANOL,100-51-6,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,PYRENE,129-00-0,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,SILVER,7440-22-4,100376
1,ATLAS TACK CORP.,MAD001026319,FAIRHAVEN,MA,2719,BRISTOL,41.635561,-70.89445,N,N,Currently on the Final NPL,Manufacturing/Processing/Maintenance,MP,42.59999847,2/21/1990,6/24/1988,TOLUENE,108-88-3,100376
