cancer_rate,avg_annual_count,five_year_trend,rural_rural,rural_urban,trend_,trend_falling,trend_rising,trend_stable
521.9,525,0.6,1,0,0,0,0,1
521.7,80,1.2,1,0,0,0,0,1
521.5,9,3.9,1,0,0,0,0,1
521.2,191,0.9,1,0,0,0,0,1
520.9,468,1,1,0,0,0,0,1
520.7,230,0.6,1,0,0,0,1,0
520.5,82,0.1,1,0,0,0,0,1
520.4,346,0.7,0,1,0,0,1,0
520.4,73,0.4,1,0,0,0,0,1
520.4,91,0.6,1,0,0,0,0,1
520.3,251,0.6,0,1,0,0,0,1
520.2,223,0.4,1,0,0,0,0,1
520,4499,0.4,0,1,0,0,0,1
519.7,434,0,1,0,0,0,0,1
519.6,75,0.2,1,0,0,0,0,1
519.6,269,2.4,1,0,0,0,1,0
519.5,622,0.3,0,1,0,0,0,1
519.3,1633,0.4,0,1,0,0,0,1
519,414,-0.7,1,0,0,0,0,1
519,193,0.4,1,0,0,0,0,1
518.9,269,-0.9,0,1,0,0,0,1
518.8,116,0.6,1,0,0,0,0,1
518.6,169,-6.1,1,0,0,0,0,1
518.5,71,1.3,1,0,0,0,0,1
518.5,295,0.4,1,0,0,0,0,1
518.5,74,0.2,1,0,0,0,0,1
518.5,838,0.2,0,1,0,0,0,1
518.4,33,0.4,1,0,0,0,0,1
518.3,191,0,1,0,0,0,0,1
518.3,8,-0.7,1,0,0,0,0,1
518.3,248,0,0,1,0,0,0,1
518.3,526,0,0,1,0,0,0,1
518.1,244,0,1,0,0,0,0,1
518.1,44,-0.4,1,0,0,0,0,1
518,215,3.6,1,0,0,0,1,0
518,120,0.1,1,0,0,0,0,1
517.7,109,0.5,1,0,0,0,0,1
517.6,468,2,1,0,0,0,1,0
517.1,69,0.2,1,0,0,0,0,1
517.1,310,-0.2,1,0,0,0,0,1
517,244,-0.3,1,0,0,0,0,1
516.9,145,0.2,1,0,0,0,0,1
516.9,146,0.5,1,0,0,0,0,1
516.8,6520,-0.6,0,1,0,1,0,0
516.6,138,1.2,1,0,0,0,0,1
516.6,812,0.1,0,1,0,0,0,1
516.5,157,0.5,0,1,0,0,0,1
516.5,243,1.1,1,0,0,0,1,0
516.5,123,3.3,1,0,0,0,1,0
516.4,29,0.6,1,0,0,0,0,1
516.3,501,0.6,0,1,0,0,0,1
516.3,161,-7.1,1,0,0,1,0,0
516.2,215,0.7,1,0,0,0,0,1
516,53,0.9,0,1,0,0,0,1
516,83,1.4,1,0,0,0,1,0
516,335,-4.1,1,0,0,0,0,1
516,965,-0.2,0,1,0,0,0,1
515.8,4219,-1,0,1,0,1,0,0
515.8,126,0.9,1,0,0,0,0,1
515.6,663,0,0,1,0,0,0,1
515.5,70,1.1,1,0,0,0,0,1
515.5,39,1.7,1,0,0,0,0,1
515.4,39,0,1,0,0,0,0,1
515.2,939,-1.1,1,0,0,0,0,1
515.1,155,0.6,0,1,0,0,0,1
515.1,130,-0.4,1,0,0,0,0,1
514.9,10153,-0.6,0,1,0,1,0,0
514.7,71,1,1,0,0,0,1,0
514.7,41,0.9,0,1,0,0,0,1
514.6,186,0,1,0,0,0,0,1
514.6,74,0.4,1,0,0,0,0,1
514.4,260,1.1,0,1,0,0,1,0
514.3,3256,-0.3,0,1,0,0,0,1
514.1,27,2.6,1,0,0,0,1,0
514.1,105,1.2,1,0,0,0,0,1
514.1,113,1.4,1,0,0,0,1,0
513.9,309,3.3,1,0,0,0,1,0
513.8,66,1.1,1,0,0,0,0,1
513.7,4580,-0.7,0,1,0,0,0,1
513.6,189,-0.6,0,1,0,0,0,1
513.6,179,0.1,0,1,0,0,0,1
513.6,146,0.3,1,0,0,0,0,1
513.5,27,16.2,1,0,0,0,1,0
513.5,203,0,1,0,0,0,0,1
513.1,109,0.5,1,0,0,0,0,1
513.1,270,0.4,1,0,0,0,0,1
513.1,254,0,1,0,0,0,0,1
513,1538,0.3,0,1,0,0,0,1
513,95,-0.1,0,1,0,0,0,1
512.9,306,0.5,0,1,0,0,0,1
512.8,1369,0.3,0,1,0,0,0,1
512.8,274,0.4,1,0,0,0,0,1
512.7,498,1.2,1,0,0,0,1,0
512.7,4896,-0.3,0,1,0,1,0,0
512.7,392,0.8,1,0,0,0,1,0
512.6,138,0,1,0,0,0,0,1
512.6,124,1,1,0,0,0,1,0
512.5,154,0.4,1,0,0,0,0,1
512.5,90,0.8,0,1,0,0,0,1
512.5,208,0.3,0,1,0,0,0,1
512.4,15,9.2,1,0,0,0,0,1
512.4,591,-0.2,0,1,0,0,0,1
512.3,69,0.6,1,0,0,0,0,1
512,594,0.8,0,1,0,0,1,0
511.8,122,-0.5,1,0,0,0,0,1
511.8,38,4.3,1,0,0,0,0,1
511.7,40,0.7,1,0,0,0,0,1
511.7,7,-999,1,0,1,0,0,0
511.7,187,1.9,0,1,0,0,1,0
511.6,43,0.2,1,0,0,0,0,1
511.5,24,2.1,1,0,0,0,0,1
511.4,102,1.3,1,0,0,0,0,1
511.4,58,0,1,0,0,0,0,1
511.2,681,0.7,1,0,0,0,1,0
511.2,53,0.5,1,0,0,0,0,1
511.1,7,0.9,1,0,0,0,0,1
511.1,89,0.2,1,0,0,0,0,1
510.9,593,-0.2,0,1,0,0,0,1
510.7,68,-0.2,1,0,0,0,0,1
510.7,132,0.1,0,1,0,0,0,1
510.7,210,0.8,0,1,0,0,0,1
510.7,207,0.6,1,0,0,0,0,1
510.6,41,-1.3,1,0,0,0,0,1
510.6,200,0.2,1,0,0,0,0,1
510.5,286,0.3,0,1,0,0,0,1
510.4,630,0,1,0,0,0,0,1
510.2,453,0.1,1,0,0,0,0,1
510,130,-0.1,0,1,0,0,0,1
510,1940,0.9,0,1,0,0,0,1
509.9,50,-0.1,1,0,0,0,0,1
509.9,188,0.8,1,0,0,0,1,0
509.7,284,0.3,1,0,0,0,0,1
509.6,4959,0.7,0,1,0,0,0,1
509.4,571,0.3,1,0,0,0,0,1
509.4,149,3.8,0,1,0,0,0,1
509.3,171,0,1,0,0,0,0,1
509.3,127,-6.5,1,0,0,0,0,1
509.3,131,-0.7,1,0,0,0,0,1
509.3,227,-1.3,1,0,0,1,0,0
509.2,519,0.7,1,0,0,0,0,1
509.1,221,4.3,1,0,0,0,1,0
509.1,107,3.8,1,0,0,0,1,0
509,626,0,0,1,0,0,0,1
508.9,182,0.2,0,1,0,0,0,1
508.9,102,0.7,0,1,0,0,0,1
508.9,605,0.1,0,1,0,0,0,1
508.9,202,0.2,0,1,0,0,0,1
508.9,156,0.4,0,1,0,0,0,1
508.8,249,0.3,1,0,0,0,0,1
508.8,417,-0.5,1,0,0,1,0,0
508.7,3075,-0.4,0,1,0,1,0,0
508.6,505,-0.4,1,0,0,0,0,1
508.6,3103,-0.1,0,1,0,0,0,1
508.6,179,-0.1,0,1,0,0,0,1
508.6,126,1.5,1,0,0,0,1,0
508.6,43,-0.4,0,1,0,0,0,1
508.4,225,0.6,1,0,0,0,1,0
508.4,2013,0.1,0,1,0,0,0,1
508.4,119,-0.9,1,0,0,1,0,0
508.3,6,-2.3,1,0,0,0,0,1
508.3,377,-0.5,1,0,0,0,0,1
508.1,191,0.8,1,0,0,0,0,1
508,100,1.1,1,0,0,0,0,1
507.9,31,1.1,1,0,0,0,0,1
507.8,517,0.3,1,0,0,0,0,1
507.8,2041,0.7,0,1,0,0,1,0
507.6,29,1.2,1,0,0,0,0,1
507.4,72,0.7,0,1,0,0,0,1
507.4,154,0.4,0,1,0,0,0,1
507.3,206,0.5,1,0,0,0,0,1
507.2,1086,0,0,1,0,0,0,1
507.1,556,0,1,0,0,0,0,1
507,325,0.9,1,0,0,0,1,0
506.9,438,-0.8,0,1,0,0,0,1
506.9,254,0.3,1,0,0,0,0,1
506.6,718,0.8,0,1,0,0,0,1
506.6,35,0.9,1,0,0,0,0,1
506.6,65,0.5,1,0,0,0,0,1
506.5,49,0.5,1,0,0,0,0,1
506.5,35,7.5,1,0,0,0,0,1
506.5,16,1.4,1,0,0,0,0,1
506.2,487,3.6,1,0,0,0,1,0
506.2,992,-0.5,0,1,0,1,0,0
506.2,290,-0.2,0,1,0,0,0,1
506.1,4894,-0.2,0,1,0,0,0,1
506.1,398,-0.6,1,0,0,0,0,1
506.1,60,1.6,1,0,0,0,1,0
506,187,1.3,1,0,0,0,1,0
506,107,-0.5,1,0,0,0,0,1
505.9,49,0.6,1,0,0,0,0,1
505.9,1391,0.3,0,1,0,0,0,1
505.9,73,0.1,1,0,0,0,0,1
505.9,263,-0.9,0,1,0,0,0,1
505.7,268,0.4,1,0,0,0,0,1
505.7,197,-0.2,0,1,0,0,0,1
505.6,627,0,0,1,0,0,0,1
505.5,30,0,1,0,0,0,0,1
505.5,79,0,0,1,0,0,0,1
505.4,347,-0.2,0,1,0,0,0,1
