river_node_id,county_node_id,edge_type,fips
200005,2506,river <-> county,21041
200005,1783,river <-> county,18025
200005,1249,river <-> county,18077
200005,1870,river <-> county,18155
200005,2617,river <-> county,42003
200005,236,river <-> county,21077
200005,720,river <-> county,21117
200005,532,river <-> county,39015
200005,1573,river <-> county,21015
200005,2194,river <-> county,21037
200005,2656,river <-> county,39025
200005,2374,river <-> county,39061
200005,1018,river <-> county,54107
200005,2170,river <-> county,39009
200005,1289,river <-> county,54073
200005,2531,river <-> county,39167
200005,1927,river <-> county,54095
200005,169,river <-> county,54103
200005,609,river <-> county,39111
200005,651,river <-> county,54051
200005,2484,river <-> county,39013
200005,2975,river <-> county,54069
200005,2805,river <-> county,54009
200005,2171,river <-> county,39081
200005,820,river <-> county,54029
200005,19,river <-> county,42007
200005,2441,river <-> county,39029
200006,1378,river <-> county,22077
200006,2578,river <-> county,22125
200006,2797,river <-> county,22029
200006,1575,river <-> county,22009
200006,1561,river <-> county,22079
200006,467,river <-> county,22043
200006,1649,river <-> county,22025
200006,2243,river <-> county,22069
200006,1597,river <-> county,22127
200006,1888,river <-> county,22081
200006,1864,river <-> county,22017
200006,2324,river <-> county,22015
200006,1635,river <-> county,48097
200006,1914,river <-> county,48337
200006,38,river <-> county,48077
200006,68,river <-> county,48147
200006,368,river <-> county,48277
200006,240,river <-> county,48181
200006,2487,river <-> county,40013
200006,167,river <-> county,40095
200006,2454,river <-> county,40023
200006,2843,river <-> county,48487
200006,2287,river <-> county,48197
200006,1853,river <-> county,48075
200006,2036,river <-> county,48191
200006,1521,river <-> county,40065
200006,1360,river <-> county,40085
200006,1166,river <-> county,48485
200006,2127,river <-> county,40067
200006,742,river <-> county,40033
200006,1867,river <-> county,40141
200006,1114,river <-> county,40057
200006,2653,river <-> county,05073
200006,224,river <-> county,05091
200006,939,river <-> county,48037
200006,2283,river <-> county,48387
200006,1663,river <-> county,05081
200006,3223,river <-> county,05057
200006,762,river <-> county,40089
200007,2772,river <-> county,48043
200007,1236,river <-> county,48377
200007,2141,river <-> county,48443
200007,1560,river <-> county,48229
200007,2528,river <-> county,48141
200007,1052,river <-> county,35013
200007,2942,river <-> county,35051
200007,1225,river <-> county,35053
200007,3148,river <-> county,35061
200007,2734,river <-> county,35001
200007,882,river <-> county,35043
200007,3151,river <-> county,48061
200007,217,river <-> county,48215
200007,2456,river <-> county,48427
200007,3184,river <-> county,48505
200007,3058,river <-> county,48479
200007,909,river <-> county,48323
200007,459,river <-> county,48271
200007,2606,river <-> county,48465
200007,2551,river <-> county,35049
200007,1240,river <-> county,35028
200007,2206,river <-> county,35039
200007,728,river <-> county,35055
200007,2812,river <-> county,08021
200007,680,river <-> county,08023
200007,1265,river <-> county,08079
200007,1696,river <-> county,08053
200007,406,river <-> county,08003
200007,2020,river <-> county,08105
200008,1697,river <-> county,16031
200008,33,river <-> county,56023
200008,2414,river <-> county,16083
200008,2360,river <-> county,16005
200008,305,river <-> county,16053
200008,596,river <-> county,16077
200008,2479,river <-> county,16073
200008,1161,river <-> county,16067
200008,2815,river <-> county,16047
200008,1404,river <-> county,16011
200008,620,river <-> county,16013
200008,456,river <-> county,16019
200008,653,river <-> county,16039
200008,1682,river <-> county,16001
200008,3117,river <-> county,16027
200008,1034,river <-> county,41045
200008,233,river <-> county,16065
200008,62,river <-> county,16051
200008,2819,river <-> county,56039
200008,1894,river <-> county,16075
200008,2622,river <-> county,16087
200008,1042,river <-> county,16003
200008,354,river <-> county,41001
200008,18,river <-> county,41063
200008,573,river <-> county,16049
200008,1816,river <-> county,53003
200008,2495,river <-> county,53071
200008,739,river <-> county,16069
200008,1158,river <-> county,53013
200008,2000,river <-> county,53023
200008,3200,river <-> county,53021
200008,2904,river <-> county,53075
200009,771,river <-> county,01095
200009,1204,river <-> county,01071
200009,2436,river <-> county,01103
200009,2293,river <-> county,01079
200009,2124,river <-> county,01089
200009,246,river <-> county,01033
200009,808,river <-> county,01083
200009,1710,river <-> county,01077
200009,1903,river <-> county,47071
200009,64,river <-> county,47115
200009,29,river <-> county,47065
200009,1188,river <-> county,47181
200009,3080,river <-> county,47039
200009,1774,river <-> county,47135
200009,1963,river <-> county,47143
200009,2255,river <-> county,47121
200009,790,river <-> county,47009
200009,362,river <-> county,47105
200009,1349,river <-> county,47145
200009,1889,river <-> county,47093
200009,1297,river <-> county,47085
200009,2756,river <-> county,47005
200009,1254,river <-> county,47083
200009,1564,river <-> county,47079
200009,1996,river <-> county,21035
200009,1020,river <-> county,47161
200009,2061,river <-> county,21221
200009,2079,river <-> county,21157
200009,1898,river <-> county,21145
200009,2398,river <-> county,21139
