row_index,site_id,fips
681,0402405,28121
682,0402479,28091
683,0402489,28087
684,0402598,37021
685,0402634,37051
686,0402635,37051
687,0402647,37183
688,0402687,37045
689,0402718,37133
690,0402724,37197
691,0402753,37025
692,0402893,37089
693,0402957,37021
694,0403015,37183
695,0403028,37019
696,0403079,37071
697,0403095,37153
698,0403099,37125
699,0403122,37019
700,0403124,37087
701,0403168,37159
702,0403174,37049
703,0403185,37133
704,0403207,45045
705,0403224,45045
706,0403252,45077
707,0403254,45045
708,0403259,45063
709,0403262,45013
710,0403274,45079
711,0403275,45013
712,0403308,45031
713,0403309,45005
714,0403310,45083
715,0403343,45013
716,0403350,45019
717,0403362,45063
718,0403363,45079
719,0403371,45021
720,0403388,45023
721,0403400,45019
722,0403402,45063
723,0403404,45045
724,0403409,45083
725,0403425,45091
726,0403481,45091
727,0403485,45003
728,0403488,45013
729,0403508,28059
730,0403623,47113
731,0403684,47157
732,0403765,47065
733,0403783,47181
734,0403822,47047
735,0403838,47157
736,0403886,47069
737,0404004,47099
738,0404005,47047
739,0404006,47117
740,0404007,47065
741,0404043,47081
742,0404147,47017
743,0404152,47145
744,0404159,47157
745,0404170,37125
746,0404172,28073
747,0404199,12079
748,0404225,37097
749,0404239,21185
750,0404280,37013
751,0404285,01101
752,0404327,37077
753,0404343,01013
754,0404344,01073
755,0404345,01003
756,0404399,12011
757,0404439,13127
758,0404743,12031
759,0404746,12086
760,0404794,21145
761,0404896,45025
762,0405001,12057
763,0405125,21095
764,0405465,47145
765,0405489,37071
766,0405545,01089
767,0405546,01089
768,0405547,21037
769,0405550,45025
770,0405590,37129
771,0405619,37071
772,0405622,13127
773,0405643,45011
774,0405795,12057
775,0405823,12057
776,0406082,37183
777,0406299,01067
778,0406303,37119
779,0406469,12011
780,0406539,12057
781,0406597,37077
782,0406611,37097
783,0406753,47093
784,0406784,45019
785,0406819,37071
786,0406895,37021
787,0406909,12057
788,0406989,37087
789,0407047,47157
790,0407160,13121
791,0407378,47157
792,0407447,37125
793,0407449,13245
794,0407480,37129
795,0407492,12011
796,0407714,45065
797,0409895,37009
798,0410013,12117
799,0410033,13021
800,0410124,47157
801,0410161,37145
802,0410203,47033
803,0410232,12057
804,0410335,12117
805,0410384,12086
806,0410582,12031
807,0410686,47065
808,0410750,01073
809,0500018,18039
810,0500047,17163
811,0500078,17031
812,0500092,17023
813,0500125,17197
814,0500189,17007
815,0500197,17097
816,0500199,17043
817,0500229,17119
818,0500261,17141
819,0500272,17201
820,0500332,17097
821,0500340,17089
822,0500350,17027
823,0500357,17201
824,0500360,17121
825,0500396,17011
826,0500507,17119
827,0500542,17007
828,0500551,17007
829,0500574,17097
830,0500581,17097
831,0500585,17111
832,0500606,17043
833,0500628,17201
834,0500634,17099
835,0500648,17135
836,0500656,17001
837,0500753,17163
838,0500754,17091
839,0500755,17099
840,0500760,17043
841,0500942,17003
842,0500955,17201
843,0501082,17021
844,0501154,17095
845,0501164,17201
846,0501170,17197
847,0501174,17085
848,0501179,17197
849,0501181,17199
850,0501199,18039
851,0501215,18097
852,0501228,18067
853,0501275,18089
854,0501297,18091
855,0501308,18005
856,0501330,18083
857,0501343,18105
858,0501373,18089
859,0501376,18097
860,0501433,18089
861,0501439,18183
862,0501442,18011
863,0501482,18085
864,0501504,18091
865,0501540,18011
866,0501596,18039
867,0501611,18089
868,0501673,18005
869,0501696,18141
870,0501759,18105
871,0501761,18089
872,0501799,18003
873,0501800,18089
874,0501805,18059
875,0501812,18105
876,0501813,18039
877,0501814,18053
878,0501815,18011
879,0501816,18089
880,0501817,18119
881,0501954,18141
882,0501964,18157
883,0501967,18141
884,0501978,18141
885,0502150,18167
886,0502165,26081
887,0502168,26081
888,0502172,26049
889,0502194,26057
890,0502202,26077
891,0502220,26091
892,0502237,26021
893,0502238,26021
894,0502254,26025
895,0502255,26077
896,0502256,26125
897,0502310,26023
898,0502325,26077
899,0502332,26047
900,0502367,26005
901,0502372,26121
902,0502373,26121
903,0502388,26065
904,0502419,26081
905,0502432,26089
906,0502434,26163
907,0502440,26165
908,0502480,26165
909,0502486,26121
910,0502566,26121
911,0502576,26081
912,0502593,26099
913,0502600,26099
914,0502603,26121
915,0502634,26081
916,0502651,26115
917,0502686,26093
918,0502719,26035
919,0502729,26163
920,0502733,26159
921,0502734,26049
922,0502735,26099
923,0502742,26045
924,0502743,26081
925,0502756,26125
926,0502765,26125
927,0502775,26025
928,0502793,26121
929,0502812,26077
930,0502819,26087
931,0502845,26139
932,0502860,26103
933,0502876,26081
934,0502882,26125
935,0502931,26033
936,0502992,26085
937,0502993,26121
938,0502997,26065
939,0503000,26149
940,0503011,26025
941,0503012,26077
942,0503013,26029
943,0503014,26069
944,0503015,26067
945,0503019,26105
946,0503020,26093
947,0503023,26027
948,0503024,26009
949,0503025,26125
950,0503034,26061
951,0503169,26019
952,0503649,26081
953,0503675,26069
954,0503678,27037
955,0503686,27037
956,0503688,27035
957,0503695,27123
958,0503705,27131
959,0503722,27123
960,0503738,27003
961,0503754,27053
962,0503761,27137
963,0503767,27053
964,0503775,27053
965,0503776,27003
966,0503781,27021
967,0503786,27003
968,0503817,27053
969,0503823,27033
970,0503834,27003
971,0503840,27163
972,0503842,27111
973,0503845,27003
974,0503878,27037
975,0503888,27163
976,0503891,27149
977,0503892,27013
978,0503894,27137
979,0503896,27021
980,0503900,27007
981,0503901,27003
982,0503902,27159
983,0503903,27153
984,0503924,27145
985,0503926,27003
986,0503937,27041
987,0503946,27037
988,0504009,27003
989,0504010,27123
990,0504012,27053
991,0504014,39151
992,0504015,39113
993,0504128,39151
994,0504150,39157
995,0504223,39111
996,0504287,39037
997,0504305,39109
998,0504336,39087
999,0504385,39157
1000,0504401,39007
1001,0504404,39017
1002,0504434,39087
1003,0504445,39061
1004,0504496,39113
1005,0504541,39129
1006,0504544,39013
1007,0504558,39031
1008,0504568,39087
1009,0504586,39007
1010,0504617,39133
1011,0504619,39029
1012,0504620,39157
1013,0504684,39007
1014,0504688,39109
1015,0504693,39113
1016,0504722,39035
1017,0504723,39007
1018,0504820,39119
1019,0504821,39167
1020,0504822,39007
1021,0504824,39059
1022,0504850,39093
1023,0504896,39057
1024,0504934,39061
1025,0504935,39113
1026,0504939,39057
1027,0504945,55105
1028,0504946,55133
1029,0504952,55131
1030,0504973,55117
1031,0504986,55027
1032,0505007,55081
1033,0505009,55017
1034,0505024,55079
1035,0505029,55119
1036,0505034,55027
1037,0505040,55071
1038,0505043,55133
1039,0505057,55025
1040,0505068,55101
1041,0505071,55025
1042,0505073,55111
1043,0505078,55039
1044,0505087,55081
1045,0505088,55081
1046,0505095,55061
1047,0505114,55025
1048,0505115,55105
1049,0505117,55025
1050,0505136,55105
1051,0505164,55035
1052,0505165,55127
1053,0505166,55133
1054,0505168,55015
1055,0505169,55063
1056,0505170,55073
1057,0505177,55025
1058,0505178,55079
1059,0505180,55071
1060,0505181,55073
1061,0505186,55073
1062,0505188,55117
1063,0505257,55009
1064,0505340,27163
1065,0505540,17031
1066,0505544,55073
1067,0505842,26075
1068,0506449,27003
1069,0506898,55013
1070,0507087,39165
1071,0507352,17163
1072,0507364,17099
1073,0507548,39153
1074,0507723,55009
1075,0507952,55003
1076,0507962,39109
1077,0507973,39025
1078,0508132,39109
1079,0508134,17183
1080,0508142,18163
1081,0508170,17135
1082,0508642,18005
1083,0508678,18109
1084,0509136,27053
1085,0509238,39023
1086,0509938,18167
1087,0509950,39101
1088,0510063,26099
1089,0510164,39113
1090,0510210,55089
1091,0510229,18039
1092,0510362,26163
1093,0510389,26057
1094,0510399,18097
1095,0510407,17085
1096,0510459,39023
1097,0600006,48201
1098,0600023,05119
1099,0600064,05139
1100,0600077,05035
1101,0600124,05009
1102,0600136,05113
1103,0600151,05067
1104,0600184,05035
1105,0600216,05149
1106,0600236,05085
1107,0600246,05055
1108,0600317,22127
1109,0600387,22033
1110,0600428,22105
1111,0600472,22063
1112,0600512,22005
1113,0600573,22047
1114,0600574,22103
1115,0600576,22113
1116,0600633,22005
1117,0600646,22071
1118,0600647,22113
1119,0600652,22033
1120,0600653,22103
1121,0600770,22119
1122,0600805,35053
1123,0600806,35055
1124,0600816,35006
1125,0600819,35031
1126,0600827,35009
1127,0600877,35031
1128,0600879,35001
1129,0600897,35027
1130,0600907,35061
1131,0600911,35045
1132,0600988,40087
1133,0601010,40147
1134,0601045,40101
1135,0601160,40119
1136,0601172,40015
1137,0601256,40109
1138,0601258,40143
1139,0601269,40115
1140,0601357,40143
1141,0601494,22103
