TRIAL,EPOCH,validation_RMSE,training_RMSE,training_MSE,MSE: val - train,RMSE: val - train,R2,hidden_channels,lr,dropout,weight_decay,num_layers,aggr,activation,batch_norm,residual,lr_scheduler
20,487,55.58346558,82.71115875,6841.13623,-3751.614502,-27.12769318,0.09270858765,64,0.02278790026,0.03597330916,0.142391169,4,max,relu,False,True,none
21,439,53.59199524,76.33158875,5826.511719,-2954.409912,-22.73959351,0.1565577388,128,0.003796148029,0.05918130227,0.02230928229,6,max,relu,True,False,none
22,489,55.62769318,83.70637512,7006.757812,-3912.317627,-28.07868195,0.09126412868,128,0.001289419435,0.09315917876,0.1079445236,6,max,relu,True,False,none
23,494,53.17052841,64.16498566,4117.145508,-1290.040527,-10.99445724,0.1697718501,128,0.004656600929,0.03866683212,0.01050850641,6,max,relu,True,False,none
24,492,77.71611786,110.2938843,12164.74121,-6124.945801,-32.57776642,-0.7736902237,128,0.0006570733407,0.1410252244,0.009930371963,5,max,relu,True,False,none
25,472,54.8531723,68.34076691,4670.460938,-1661.590576,-13.4875946,0.1163932085,128,0.008793654697,0.01062144581,0.960746304,6,max,relu,True,False,none
26,479,54.96370697,100.7835693,10157.32812,-7136.318848,-45.81986237,0.1128284931,64,0.002174144805,0.2305923983,0.0005774603103,5,max,relu,True,False,step
27,386,62.82099152,124.8941116,15598.54004,-11652.06323,-62.07312012,-0.1589510441,64,0.02036319494,0.08299948907,0.2513405952,4,max,relu,False,True,none
28,490,66.49059296,93.4829483,8739.061523,-4318.062988,-26.99235535,-0.2983025312,128,0.0003781325793,0.03572403299,0.1824500337,5,sum,relu,True,False,none
29,500,457.946228,457.7079163,209496.5469,218.203125,0.2383117676,-60.58635712,96,0.03093079007,0.1750229843,0.01252793111,6,mean,leaky_relu,True,False,none
30,449,58.03284073,86.72238159,7520.771973,-4152.961182,-28.68954086,0.01098418236,96,0.001152488197,0.1343665183,2.09684984e-05,5,max,leaky_relu,False,True,step
31,500,53.2754364,72.76304626,5294.460449,-2456.188232,-19.48760986,0.1664922833,128,0.004321553965,0.0471096781,0.05793207276,6,max,relu,True,False,none
32,475,53.14146042,67.63552094,4574.563965,-1750.549072,-14.49406052,0.1706793308,128,0.005027861232,0.03891873998,0.289453601,6,max,relu,True,False,none
33,481,53.77355957,70.31880188,4944.734375,-2053.138672,-16.54524231,0.1508329511,128,0.007702657375,0.0260690659,0.05943663939,6,max,relu,True,False,none
34,391,53.66625214,84.35871124,7116.39209,-4236.325439,-30.69245911,0.1542187333,128,0.005315920476,0.08711244509,0.001758778622,6,max,relu,True,False,none
35,500,458.2356567,457.995697,209760.0469,219.875,0.2399597168,-60.66423416,128,0.04278254924,0.001657040612,0.007163719342,6,max,relu,True,False,none
36,352,73.22636414,103.5795746,10728.72754,-5366.626953,-30.35321045,-0.5746734142,128,0.01101698477,0.06253506337,0.3545605329,6,max,elu,True,False,cosine
37,221,66.05690765,115.5833511,13359.51074,-8995.996094,-49.52644348,-0.281421423,128,0.005861438392,0.1698329415,0.001462036088,6,sum,leaky_relu,True,False,none
38,267,216.5002747,242.5879517,58848.91797,-11976.55078,-26.087677,-12.76487923,128,0.01461874773,0.05034748909,0.004754986306,6,max,relu,True,False,cosine
39,460,60.77400208,82.97903442,6885.520508,-3192.041016,-22.20503235,-0.08465397358,128,0.0009207157103,0.07921643521,0.01670368633,6,max,elu,True,False,step
40,4,458.4306946,8789838,7.726124394e+13,-7.726124373e+13,-8789379.569,-60.71672821,128,0.04447839993,0.1211760061,0.000390185329,5,mean,relu,True,False,none
41,495,52.24115753,67.32103729,4532.12207,-1802.983643,-15.07987976,0.1985414028,64,0.002814996722,0.03273170278,0.3708456113,5,max,relu,True,False,none
42,473,53.37029648,68.70623016,4720.545898,-1872.157471,-15.33593369,0.1635215878,64,0.002567172833,0.02524047573,0.2773623694,6,max,relu,True,False,none
43,460,52.70339584,75.2886734,5668.384277,-2890.736328,-22.58527756,0.1842957139,128,0.005304047344,0.0945530081,0.07209776485,5,max,relu,True,False,none
44,394,52.03484726,79.58460236,6333.709473,-3626.084229,-27.5497551,0.2048591375,64,0.006543156655,0.0990185144,0.4110884097,4,sum,relu,True,False,none
45,474,55.8367424,81.6100235,6660.195801,-3542.453857,-25.7732811,0.08442133665,64,0.00142081729,0.09572586534,0.4950988535,4,sum,leaky_relu,True,False,cosine
46,446,54.212883,75.61855316,5718.165527,-2779.128662,-21.40567017,0.1369011402,64,0.00824266677,0.06989065705,0.1683951104,4,sum,elu,True,False,none
47,461,54.54312134,88.9338913,7909.236816,-4934.284668,-34.39076996,0.1263539791,64,0.002699260254,0.2014784946,0.8673165888,4,sum,relu,True,False,none
48,420,55.48779678,87.38118744,7635.47168,-4556.576172,-31.89339066,0.09582906961,64,0.01285617287,0.173682615,0.07444108015,3,sum,relu,True,False,none
49,480,54.20790482,81.52883148,6646.950195,-3708.453369,-27.32092667,0.1370597482,64,0.001934326372,0.1037175511,0.4128850342,5,sum,relu,True,False,none
50,317,58.53581619,112.1398163,12575.33887,-9148.896973,-53.60400009,-0.006233692169,64,0.006429960033,0.2631292462,5.921343012e-08,4,sum,elu,True,False,cosine
51,459,52.79548645,60.22508621,3627.060791,-839.6972656,-7.429599762,0.1814426184,64,0.003687416363,0.01937954064,0.03380897258,5,max,relu,True,False,none
52,496,56.78337097,73.19855499,5358.02832,-2133.677246,-16.41518402,0.05311369896,64,0.0008726700824,0.01893166874,0.1494093553,5,max,relu,True,False,none
53,499,52.24911118,70.38601685,4954.191895,-2224.222168,-18.13690567,0.1982972026,64,0.003265704904,0.06745850679,0.03112662748,5,max,relu,True,False,none
54,485,52.88463593,69.77233124,4868.177734,-2071.392822,-16.88769531,0.1786757112,64,0.003273315461,0.06565536217,0.03529202875,5,max,relu,False,True,none
55,482,53.98234558,80.81348419,6530.818848,-3616.725098,-26.83113861,0.1442260742,64,0.001742324482,0.117831121,0.02861070382,5,mean,relu,True,False,none
56,497,107.3822556,135.6889038,18411.47852,-6880.530273,-28.30664825,-2.386262178,64,0.0004145345418,0.1304031212,0.003263154557,5,max,relu,True,True,step
57,498,53.13884354,81.59646606,6657.983398,-3834.246826,-28.45762253,0.1707609892,64,0.003504059087,0.1497610148,2.306608751e-07,4,max,relu,False,False,none
58,500,369.9268188,370.505188,137274.0938,-428.234375,-0.5783691406,-39.18714905,64,3.073362676e-05,0.1018559058,0.09217394269,5,max,relu,True,False,none
59,254,59.3368454,107.9051132,11643.51367,-8122.652588,-48.56826782,-0.03396165371,64,0.01904951485,0.07531938738,0.6864360872,4,max,relu,False,True,none
60,500,53.50540161,67.42578888,4546.237305,-1683.409424,-13.92038727,0.1592811942,96,0.0107060829,0.01400855983,0.03794261344,5,sum,leaky_relu,True,False,none
61,478,51.86441803,71.70439911,5141.520508,-2451.602539,-19.83998108,0.210059166,64,0.003519139232,0.05867421557,0.02775792879,5,max,relu,False,True,none
62,468,52.95207214,75.05693054,5633.542969,-2829.62085,-22.1048584,0.176579833,64,0.002900038416,0.05593881344,0.01734038294,5,max,relu,False,True,none
63,267,54.91900635,86.2649765,7441.646484,-4425.549316,-31.34597015,0.1142709255,64,0.006189396655,0.09156008256,0.1155006377,5,max,relu,False,True,none
64,491,54.134552,71.96500397,5178.961426,-2248.411621,-17.83045197,0.1393934488,64,0.001589892053,0.03530787382,0.4934582872,5,max,relu,False,True,none
65,461,60.06856918,113.2901382,12834.65527,-9226.422363,-53.22156906,-0.05961978436,64,0.002202370357,0.3219609244,0.2024099534,5,max,relu,False,True,none
66,500,367.5133362,366.5021667,134323.8438,742.21875,1.011169434,-38.6644783,64,8.063983313e-05,0.05042034559,0.05906926055,4,mean,relu,False,True,none
67,450,52.82538986,66.10061646,4369.291016,-1578.769043,-13.27522659,0.1805151701,64,0.00404718967,0.07747479236,0.02413254416,2,max,relu,True,True,none
68,419,52.87796783,65.26940918,4260.096191,-1464.016846,-12.39144135,0.1788830757,64,0.008366475613,0.02533913356,0.9982209285,5,max,relu,False,False,step
69,487,58.28941727,69.62583923,4847.757324,-1450.101318,-11.33642197,0.002219676971,96,0.0009717145468,0.006092118122,0.005983394246,3,max,relu,True,False,none
70,495,188.4658356,221.4403076,49035.8125,-13516.44141,-32.97447205,-9.430875778,64,0.0006788820543,0.3940996771,0.0001484623453,5,max,relu,False,True,none
71,403,53.47751999,77.21575928,5962.272949,-3102.427734,-23.73823929,0.1601570249,64,0.004291705262,0.0840418359,0.01990990563,5,max,relu,True,True,none
72,482,54.78321838,71.05926514,5049.419434,-2048.218262,-16.27604675,0.1186454296,64,0.003798029801,0.0619936906,0.07737276092,2,max,relu,True,True,none
73,494,57.21245956,72.9806366,5326.172852,-2052.907227,-15.76817703,0.03874903917,64,0.002344400732,0.07484781132,0.03793244391,2,max,relu,True,True,none
74,498,51.33292007,63.3962326,4019.08252,-1384.013916,-12.06331253,0.2261667252,64,0.006742098913,0.0428148214,0.01170102649,3,max,relu,True,True,none
75,468,51.56510544,62.74398804,3936.807861,-1277.847656,-11.1788826,0.219150424,64,0.006697557899,0.041350429,0.2695874248,3,max,relu,True,True,none
76,500,59.23490906,73.76088715,5440.667969,-1931.893311,-14.52597809,-0.03041219711,64,0.01677440766,0.04340816572,0.2397148899,3,max,elu,True,True,cosine
77,469,52.43782043,65.50130463,4290.421387,-1540.696289,-13.06348419,0.1924957633,64,0.01084353027,0.03193060404,0.3943494643,3,max,relu,True,True,none
78,464,54.14662933,66.91455841,4477.558594,-1545.700928,-12.76792908,0.1390093565,64,0.01167454637,0.03663709736,0.4460829807,3,mean,leaky_relu,True,True,none
79,437,76.39464569,110.8370285,12284.84766,-6448.706055,-34.44238281,-0.7138836384,64,0.02987679296,0.06131199481,0.1432107034,3,max,relu,True,True,none
80,401,54.25161362,71.75364685,5148.585938,-2205.348389,-17.50203323,0.1356675625,64,0.02411127204,0.0312600941,0.3137430443,3,sum,relu,False,True,step
81,482,52.92475128,67.13990021,4507.766602,-1706.737305,-14.21514893,0.1774293184,64,0.007411903375,0.04935966118,0.6134881803,3,max,relu,True,True,none
